,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5426,0.49,0.928,8,-3.294,1,0.0884,5.59e-05,0.00221,0.613,0.47,101.024,218147,4
5427,0.42,0.933,2,-8.161,1,0.0392,8.25e-05,0.31,0.213,0.762,103.596,61933,4
5428,0.522,0.948,3,-5.619,1,0.0361,0.000226,3.01e-05,0.466,0.304,110.981,291147,4
5429,0.467,0.694,4,-9.174,1,0.0478,0.0595,0.000108,0.961,0.325,118.938,213253,4
5430,0.605,0.767,11,-4.11,0,0.031,0.174,1.7e-06,0.3,0.849,114.64,175653,4
5431,0.487,0.85,1,-6.511,1,0.0425,0.00367,0.0946,0.0536,0.199,115.024,305307,4
5432,0.707,0.803,0,-6.94,1,0.0444,0.179,0.0126,0.314,0.574,119.994,242533,4
5433,0.432,0.265,4,-12.303,0,0.0435,0.675,1.05e-06,0.303,0.234,129.179,285227,4
5434,0.434,0.795,4,-8.302,1,0.0721,0.582,0.304,0.472,0.48,97.778,163320,4
5435,0.541,0.873,5,-5.65,1,0.0823,0.0677,0.00967,0.323,0.367,90.093,248387,4
5436,0.459,0.954,0,-5.615,1,0.0674,0.000624,1.12e-06,0.337,0.651,141.771,123347,4
5437,0.393,0.899,1,-4.105,1,0.0491,0.000811,0.0,0.313,0.54,175.926,209667,4
5438,0.516,0.861,10,-5.17,0,0.0321,0.00333,0.0,0.324,0.221,138.056,257267,4
5439,0.317,0.684,9,-8.308,0,0.054,0.25,0.0227,0.947,0.23,74.391,393893,4
5440,0.483,0.38,0,-11.443,1,0.0317,0.864,0.0048,0.106,0.329,76.469,618293,4
5441,0.589,0.385,9,-9.647,1,0.0267,0.893,0.00505,0.125,0.256,96.922,151800,4
5442,0.484,0.786,0,-5.662,1,0.0377,0.00624,0.0765,0.0954,0.146,131.729,232333,3
5443,0.489,0.831,4,-4.843,0,0.0421,0.0481,0.0,0.779,0.472,101.744,206440,4
5444,0.608,0.608,5,-5.741,1,0.0286,0.208,0.000316,0.222,0.376,123.773,284307,4
5445,0.34,0.287,0,-17.333,1,0.0374,0.719,0.562,0.0874,0.248,171.904,126561,4
5446,0.389,0.971,2,-4.724,1,0.0724,7.16e-06,0.0838,0.368,0.228,94.107,261760,4
5447,0.308,0.92,11,-3.527,1,0.0479,0.264,0.293,0.309,0.555,182.328,62333,4
5448,0.337,0.572,4,-7.256,0,0.0519,0.00291,0.00924,0.336,0.44,99.599,157627,4
5449,0.383,0.621,6,-5.878,0,0.113,0.0272,0.0,0.427,0.213,80.051,181907,4
5450,0.621,0.981,2,-2.655,1,0.123,0.148,4.9e-05,0.757,0.488,127.772,225747,4
5451,0.475,0.968,6,-6.572,0,0.0948,0.000839,0.0171,0.104,0.414,142.328,189653,4
5452,0.363,0.692,0,-7.589,1,0.0366,0.0637,0.0862,0.16,0.561,155.83,445373,4
